title,brand,price,url,img,description,source,date,sold
1970 Rolex Oyster Perpetual Date 1505 TT,Rolex,4000,https://www.belmontwatches.com/products/rolex-oyster-perpetual-date-1505-tt,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/RolexOysterPerpetualDate1505TTDSC06988.jpg?v=1785534555,"Information: Serial: 2,259,XXX Year: 1970 Case Reference: 1505 Dial/hands: Tritium Case: 34mm - stainless steel Bracelet: Stainless/gold plated Movement: 1570 - Automatic - Running (+4 s/d 295 amp) Glass: Plexiglass Accessories: No box or papers - Watch Only Lug Width: 19mm Functions: Hours, Minutes, Second, Date Bracelet size: 7.25” Condition: Case has normal light wear with little marks. Bracele",Belmont Watches,2026-08-04,False
Longines Weems Navigation Watch Re-Edition L2.608.4,Longines,1950,https://www.belmontwatches.com/products/longines-weems-navigation-watch-re-edition-l2-608-4,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/LonginesWeemsNavigationWatchRe-EditionL2.608.4DSC06828.jpg?v=1785533211,"The Longines Weems Navigation Watch Re-Edition L2.608.4 is a faithful recreation of one of the most historically significant pilot's watches ever produced, honoring the groundbreaking navigation instrument developed by Captain Philip Van Horn Weems in the late 1920s. The re-edition limited to just 3,000 pieces worldwide, this reference features a beautifully executed silver dial, a 36mm stainless ",Belmont Watches,2026-08-04,False
1973 Omega ‘Admiralty’ 166.054,Omega,2450,https://www.belmontwatches.com/products/1970s-omega-admiralty-166-054,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1970sOmega_Admiralty_166.054DSC06936.jpg?v=1785520838,"Information: Serial: 30,742,XXX Circa: 1973 Reference: 166.054 Bracelet: Blue Leather Strap (aftermarket) Dial/hands: Tritium Case: 36mm x 12mm thickness - Stainless Steel Lug Width: 18mm Movement: 565 - automatic - Running (+5s/d 280 amp) Functions: Hours, Minutes, Seconds, Date Box and Papers: No box or papers - watch only Crystal: Plexiglass Bracelet size: 7.5” Condition: Case has honest wear w",Belmont Watches,2026-08-11,False
1970's Heuer Chronograph Black PVD Ref 13-1 'Volvo Vista III Finalist',Heuer,4200,https://www.belmontwatches.com/products/1970s-heuer-chronograph-black-pvd-ref-13-1-volvo-vista-iii-finalist,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1970_sHeuerChronographBlackPVDRef13-1_VolvoVistaIIIFinalist_DSC03850.jpg?v=1779223000,"The 1970s Heuer Chronograph Black PVD Ref. 13-1 “Volvo Vista III Finalist” is a rare and highly collectible piece that captures the bold, motorsport-driven spirit of the era. Finished in black PVD-coated stainless steel, a cutting-edge aesthetic for its time—the watch delivers an unmistakably stealthy and aggressive look that set it apart from traditional steel chronographs of the period. The dark",Belmont Watches,2026-05-26,False
Rolex Oyster Perpetual Date 69173 Champagne Dial,Rolex,5500,https://www.belmontwatches.com/products/rolex-oyster-perpetual-date-69173-champagne-dial,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/RolexOysterPerpetualDate69173ChampagneDial.jpg?v=1777582376,"The Rolex Oyster Perpetual Date Ref. 69173 is a classic Rolex ladies’ automatic date watch that embodies the brand’s hallmark blend of timeless design, everyday wearability, and enduring quality . Produced from the late 1970s through the early 2000s , this reference is typically presented in a 26 mm stainless steel and 18 k yellow gold Rolesor case with a fluted gold bezel and the iconic Oyster ca",Belmont Watches,2026-05-05,False
Rolex Datejust 16233 Champagne Dial,Rolex,6750,https://www.belmontwatches.com/products/rolex-datejust-16233-champagne-dial-1,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/RolexDatejust16233ChampagneDial_3a893e09-e4d3-496e-964d-0a0cb03c29df.jpg?v=1774972391,"The Rolex Datejust Ref. 16233 with Champagne Dial is one of the most iconic and recognizable configurations in the entire Datejust lineup, embodying the classic two-tone Rolex aesthetic that defined luxury watches throughout the late 1980s and 1990s. Produced roughly from the late 1980s to early 2000s , the 16233 features a 36 mm Oyster case crafted in Rolesor (stainless steel and 18k yellow gold)",Belmont Watches,2026-03-31,False
LeJour Chronograph Black PVD	Ref 7000,Other,4200,https://www.belmontwatches.com/products/lejour-chronograph-black-pvd-ref-7000,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/LeJourChronographBlackPVDRef7000.jpg?v=1772138832,"The LeJour Chronograph Ref. 7000 Black PVD is a vintage Swiss automatic chronograph from the 1970s–1980s era that stands out largely due to its matte black PVD-coated case and rugged, tool-watch personality. With a 40 mm case finished in black (often showing a subtle patina in well-worn examples), this chronograph captures the bold aesthetic of early sporty timepieces while remaining distinctive i",Belmont Watches,2026-03-03,False
1991 Rolex Datejust 16234 'Skinny' White Roman Dial,Rolex,6850,https://www.belmontwatches.com/products/rolex-datejust-16234-skinny-white-roman-dial,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1991RolexDatejust16234_Skinny_WhiteRomanDial.jpg?v=1773354519,"The Rolex Datejust 16234 is a timeless expression of elegance and precision, blending the brand’s iconic design cues with enduring craftsmanship. Encased in a 36mm stainless steel Oyster case, it features a refined 18k white gold fluted bezel that adds subtle sophistication. The crisp white dial is adorned with bold black-outlined Roman numeral hour markers , providing a striking yet classic contr",Belmont Watches,2026-03-17,False
"Universal Geneve Blue Compax Ref 884.495 ""Baby Nina""",Universal Geneve,6400,https://www.belmontwatches.com/products/universal-geneve-blue-compax-ref-884-495,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/UniversalGeneveBlueCompaxRef884.495_BabyNina.jpg?v=1768866098,"The Universal Genève Blue Compax Ref. 884.495 , often called a “Baby Nina” , is a distinctive mid-1990s chronograph that channels the spirit of Universal’s legendary Compax watches from the 1960s most famously those nicknamed after Nina Rindt , the style icon seen trackside with her Universal Genève chronograph in the Formula 1 paddock. While the original vintage “Nina Rindt” models are highly pri",Belmont Watches,2026-01-20,False
Breitling Premier Jumbo Chronograph 777,Breitling,3400,https://www.belmontwatches.com/products/breitling-premier-chronograph-777,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/BreitlingPremierJumboChronograph777.jpg?v=1764024116,"This is perhaps the greatest calling for the chronograph. While chronograph movements for use in wristwatches had begun in earnest as early as the 1920s by companies like Longines with its celebrated 13ZN movement, the two-pusher chronograph movement took root in the midst of the frenzy to create accurate and reliable wristwatches for aviators. One of the most widely celebrated chronographs of thi",Belmont Watches,2025-11-25,False
