title,brand,price,url,img,description,source,date,sold
Circa 1975 Patek Philippe 9508 Green Enamel Lighter Khanjar Signed,Patek Philippe,48000,https://www.watchbrotherslondon.com/sales-corner/p/circa-1975-patek-philippe-9508-enamel-lighter-khanjar-signed,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/9ec3e4fc-eec1-4c61-bb21-e2d8654cd403/Circa+1975+Patek+Philippe+9508+Enamel+Lighter+Khanjar+Signed+4.jpg,"What We Love Super rare and niche offering from Patek Philippe that formed part of a wider Ellipse accessory range. Produced in the late 1970s, Patek created a small run of 18k gold lighters to accompany the iconic Ellipse collection. Online research suggests each piece was crafted from a solid block of 18k gold and hand-finished to an exceptional standard, with the movement supplied by Colibri (e",Watch Brothers London,,False
Late 1990’s Patek Philippe Reference 5065J Full Tritium With Extract Ordered,Patek Philippe,72450,https://www.watchbrotherslondon.com/sales-corner/p/late-1990s-patek-philippe-reference-5065j-full-tritium-with-extract-ordered,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/d6f2d67e-08c2-45e3-a46c-b157b0f257bf/Late+1990%E2%80%99s+Patek+Philippe+Reference+5065J+Full+Tritium+With+Extract+Ordered+12.JPG,"What We Love By now, it’s no secret we’re fully won over by the neo-vintage Aquanaut. Its aesthetic resonates far more with us than the modern counterparts, especially when you factor in the proportions. This particular piece is the yellow gold 38mm Ref. 5065, far less common to find than its steel sibling and one that offers noticeably more presence on the wrist. The case is impressively sharp an",Watch Brothers London,,False
Circa 1955 Vacheron Constantin 4348 Aluminium,Vacheron Constantin,6550,https://www.watchbrotherslondon.com/sales-corner/p/circa-1955-vacheron-constantin-4348-aluminium,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/bad852dd-744c-4fd0-94c6-f075308da5d8/VC+Pocket+2.jpg,"WhatsApp Email Instagram Buy With Confidence — Learn More — What We Love A wonderfully quirky and playful addition to our curation, this Vacheron Constantin pocket watch is crafted almost entirely from aluminium, weighing in at just 20 grams on the scales. Pieces like this were typically presented as long-service awards from the late 1940s through to the early 1960s, most often to those in mining ",Watch Brothers London,,False
2025 Lange 1 191.062 Onyx Full Set 30th Anniversary Limited Edition,Other,64350,https://www.watchbrotherslondon.com/sales-corner/p/2025-lange-1-onyx-191062-full-set,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/4373d0df-6b74-4008-b9f9-63cca2bc7a4b/DSC02176.jpeg,"What We Love Limited to 300 pieces for the 30th anniversary of the Lange 1 makes this is a pretty special one and we’re lucky to have a full set example in hand to share. The dial is the highlight here. Solid onyx, polished to a crazy mirror-like finish with that deep jet black tone. In the right light it almost looks like glass. Movement finishing is everything you’d expect from Lange, top tier, ",Watch Brothers London,,False
Early 90’s Audemars Piguet Quantième Perpétuel Reference 25657 Platinum,Audemars Piguet,34450,https://www.watchbrotherslondon.com/sales-corner/p/early-90s-audemars-piguet-quantime-perptuel-reference-25657-platinum,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/3a06ff2c-9441-4d7c-9c97-c77b2791c3d7/DSC02542.JPG,"What We Love It’s uncommon to see this reference in platinum, just 128 pieces were produced. The case remains in wonderfully honest condition, with deep hallmarks and crisp lines, showing signs of wear that reflect genuine enjoyment over time. While much of the market’s attention is on skeleton and Tuscan Audemars Piguet Quantime Perptuel models, this particular variant is rarely encountered and c",Watch Brothers London,,False
Late 1990's Patek Philippe Aquanaut 5066 Tritium With Extract Ordered,Patek Philippe,34500,https://www.watchbrotherslondon.com/sales-corner/p/late-1990s-patek-philippe-aquanaut-5066-tritium-with-extract-ordered,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/0a282986-bedc-4edb-978d-0135944925c9/Late+1990%27s+Patek+Philippe+Aquanaut+5066+Tritium+With+Extract+Ordered+7.JPG,"What We Love Full tritium examples are increasingly hard to find, as they were produced for only a short period before the transition to Luminova on the hands, followed by the dials around 2000. This watch comes fitted with the “Marmite” bracelet, read on if you’re a fan (like I am), or feel free to skip ahead if it’s not your style. The dial is truly exceptional, featuring rich, creamy hour marke",Watch Brothers London,,False
1991 Patek Philippe Nautilus 3800G White Gold With PP Extract,Patek Philippe,93300,https://www.watchbrotherslondon.com/sales-corner/p/1991-patek-philippe-nautilus-3800g-white-gold-with-pp-extract,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/a5fac861-3377-447d-b210-e04bcf403e2f/1991+Patek+Philippe+Nautilus+3800G+White+Gold+With+PP+Extract+6.jpg,"WhatsApp · Email · Instagram Buy With Confidence — Learn More — What We Love The first white gold 3800 we’ve had the privilege to own, and it makes an immediate impression. The added weight is noticeable, yet remains perfectly balanced on the wrist thanks to the thin, refined bracelet links. The case and bracelet are in outstanding condition, retaining sharp lines and correct factory finishes thro",Watch Brothers London,,False
2025 Rolex Day-Date 36 128235 ‘Turquoise Stone’ Complete Set,Rolex,89300,https://www.watchbrotherslondon.com/sales-corner/p/2025-rolex-day-date-36-128235-turquoise-stone-complete-set,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/a38a1479-9b2d-4c63-8c24-8e0175ad525a/2025+Rolex+Day-Date+36+128235+%E2%80%98Turquoise+Stone%E2%80%99+Complete+Set+2.JPEG,"WhatsApp · Email · Instagram Buy With Confidence — Learn More — What We Love Not our usual cup of tea but we just couldn’t resist, just look at it!! A wild and eye catching take on the brands flagship Day-Date model. The Turquoise stone dial complementing the rose perfectly with every mm of the watch razor sharp and built to perfection (and to last!) This config is tough to find and tastefully don",Watch Brothers London,,False
Circa 1979/80 Audemars Piguet Royal Oak 5402ST Ultra-Thin ‘Tropic’,Audemars Piguet,43900,https://www.watchbrotherslondon.com/sales-corner/p/circa-1979/80-audemars-piguet-royal-oak-5402st-ultra-thin-tropic,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/3492b87b-c256-4d79-a9e5-f1d941b79af2/Circa+1979%3A80+Audemars+Piguet+Royal+Oak+5402ST+Ultra-Thin+%E2%80%98Tropic%E2%80%99+21.jpg,"WhatsApp Email Instagram Buy With Confidence — Learn More — What We love — The original Royal Oak “Jumbo” (39mm) wears effortlessly thanks to its ultra-thin profile, measuring just over 7mm thick. This particular example stands out on two key fronts, wonderful condition and a beautifully aged dial. The case and bracelet retain sharp, well-defined edges, and the bracelet remains tight, standing pro",Watch Brothers London,,False
1990’s Ulysse Nardin San Marco 139-70-9 Algiers No.0 of 10 Full Set,Other,25000,https://www.watchbrotherslondon.com/sales-corner/p/1990s-ulysse-nardin-san-marco-139-70-9-algiers-no0-of-10-full-set,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/768b7a73-7bdf-40dd-aaf0-58453bc66377/WBLDN+January+2026+Tim+Vaux+4x5+-+22.jpeg,"WhatsApp · Email · Instagram Buy With Confidence — Learn More — What We Love An exceptional example of one of our favourite models, showcasing a vibrant dial crafted by the renowned enamel specialists at Donzé Cadran. This particular piece stands out for three compelling reasons: the rare “0/10” marking on the dial (something we have not encountered before), the platinum case, produced in signific",Watch Brothers London,,False
